director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,charm city kings,Jahi Di'Allo Winston Meek Mill Will Catlett Angel Manuel Soto
Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,the war with grandpa,Robert De Niro Uma Thurman Rob Riggle Tim Hill
Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,a rainy day in new york,Timothée Chalamet Elle Fanning Selena Gomez Woody Allen
Diane Paragas,Eva Noblezada,Dale Watson,Princess Punzalan,yellow rose,Eva Noblezada Dale Watson Princess Punzalan Diane Paragas
Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,the 40-year-old version,Radha Blank Peter Kim Oswin Benjamin Radha Blank
Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,nocturne,Sydney Sweeney Madison Iseman Jacques Colimon Zu Quirke
"Elan Dassani, Rajeev Dassani",Sarita Choudhury,Sunita Mani,Omar Maskati,evil eye,"Sarita Choudhury Sunita Mani Omar Maskati Elan Dassani, Rajeev Dassani"
Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,a babysitter's guide to monster hunting,Tamara Smart Oona Laurence Tom Felton Rachel Talalay
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,love and monsters,Dylan O'Brien Jessica Henwick Dan Ewing Michael Matthews
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,honest thief,Liam Neeson Kate Walsh Robert Patrick Mark Williams
Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,clouds,Fin Argus Sabrina Carpenter Madison Iseman Justin Baldoni
Edward James Olmos,David Strathairn,Kate Bosworth,Pablo Schreiber,the devil has a name,David Strathairn Kate Bosworth Pablo Schreiber Edward James Olmos
Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,the kid detective,Adam Brody Sophie Nélisse Tzi Ma Evan Morgan
Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,alone,Tyler Posey Summer Spiro Robert Ri'chard Johnny Martin
Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,2 hearts,Jacob Elordi Adan Canto Tiera Skovbye Lance Hool
