Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
J A N U A R Y,5,Insidious: The Last Key,Universal Pictures / Blumhouse Productions / Stage 6 Films,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Bruce Davison",[2],Horror Thriller
J A N U A R Y,5,The Strange Ones,Vertical Entertainment,"Christopher Radcliff (director/screenplay); Lauren Wolkstein (director); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell",[3],Drama Mystery
J A N U A R Y,12,The Commuter,Lionsgate / StudioCanal / The Picture Company,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi, Ryan Engle (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Sam Neill",[4],Action Thriller Mystery
J A N U A R Y,12,Proud Mary,Screen Gems,"Babak Najafi (director); John S. Newman, Christian Swegal, Steve Antin (screenplay); Taraji P. Henson, Jahi Di'Allo Winston, Billy Brown, Danny Glover",[5],Thriller Action Crime
J A N U A R Y,12,Acts of Violence,Lionsgate Premiere,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Ashton Holmes, Melissa Bolona, Sophia Bush, Mike Epps",[6],Action Crime Thriller
J A N U A R Y,12,Freak Show,IFC Films,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, AnnaSophia Robb, Ian Nelson, Celia Weston, Laverne Cox, Bette Midler",[7],Comedy Drama
J A N U A R Y,12,Humor Me,Shout! Factory / Shout! Studios,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia",[8],Comedy
J A N U A R Y,19,12 Strong,Warner Bros. Pictures / Alcon Entertainment / Black Label Media / Jerry Bruckheimer Films,"Nicolai Fuglsig (director); Ted Tally, Peter Craig (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill",[9],War Drama Action History
J A N U A R Y,19,Den of Thieves,STX Entertainment,"Christian Gudegast (director/screenplay); Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",[10],Action Crime Thriller
J A N U A R Y,19,Forever My Girl,Roadside Attractions,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey, Abby Ryder Fortson, Travis Tritt",[11],Romance Drama Music
J A N U A R Y,25,Thane of East County,Folk Process Films / Summer Hill Entertainment,"Jesse Keller (director/screenplay); Carr Cavender, Molly Beucher, Connor Sullivan, Karl Backus, Joshua Alan Jones, Ron Christopher Jones, Brian Patrick Butler",[12],Drama Thriller
J A N U A R Y,26,Maze Runner: The Death Cure,20th Century Fox,"Wes Ball (director); T. S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Nathalie Emmanuel, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Ki Hong Lee, Barry Pepper, Will Poulter, Patricia Clarkson",[13],Science Fiction Action Adventure Thriller
J A N U A R Y,26,Please Stand By,Magnolia Pictures,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve, River Alexander, Patton Oswalt",[14],Comedy Drama
F E B R U A R Y,2,Winchester,Lionsgate / CBS Films,"The Spierig Brothers (director/screenplay); Tom Vaughan (screenplay); Helen Mirren, Jason Clarke, Sarah Snook",[15],Horror Thriller
F E B R U A R Y,2,A Fantastic Woman,Sony Pictures Classics,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes Morandé",[16],Drama
F E B R U A R Y,2,Armed,GVN Releasing,"Mario Van Peebles (director/screenplay); Mario Van Peebles, Ryan Guzman, Columbus Short, Jemma Dallender, Brad Carter, Shakira Barrera, Laz Alonso, Dionne Warwick, Melvin Van Peebles, Roland Martin, Rocsi Diaz, Van Jones, Paul Rodriguez, William Fichtner",[17],Action Thriller
F E B R U A R Y,4,The Cloverfield Paradox,Paramount Pictures / Netflix / Bad Robot,"Julius Onah (director); Oren Uziel (screenplay); Gugu Mbatha-Raw, Elizabeth Debicki, Aksel Hennie, Daniel Brühl, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi",[18],Horror Science Fiction Thriller
F E B R U A R Y,6,Bad Apples,Uncork'd Entertainment,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle",[19],Comedy
F E B R U A R Y,9,Peter Rabbit,Columbia Pictures / Sony Pictures Animation / Animal Logic,"Will Gluck (director/screenplay); Rob Lieber (screenplay); Rose Byrne, Domhnall Gleeson, Sam Neill, Daisy Ridley, Elizabeth Debicki, Marianne Jean-Baptiste, Margot Robbie, James Corden",[20],Animation Adventure Family
F E B R U A R Y,9,Pad Man,Columbia Pictures / KriArj Entertainment,"R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar, Radhika Apte",,Comedy Drama
F E B R U A R Y,9,Fifty Shades Freed,Universal Pictures / Michael De Luca Productions,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden",[21],Drama Romance
F E B R U A R Y,9,The 15:17 to Paris,Warner Bros. Pictures / Village Roadshow Pictures / Access Entertainment,"Clint Eastwood (director); Dorothy Blyskal (screenplay); Anthony Sadler, Alek Skarlatos, Spencer Stone",[22],Drama Thriller
F E B R U A R Y,9,Permission,Good Dead Entertainment,"Brian Crano (director/screenplay); Rebecca Hall, Dan Stevens, Gina Gershon, François Arnaud, Morgan Spector, David Joseph Craig, Jason Sudeikis",[23],Comedy Romance Drama
F E B R U A R Y,9,Golden Exits,Vertical Entertainment / Stage 6 Films,"Alex Ross Perry (director/screenplay); Emily Browning, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman, Chloë Sevigny, Analeigh Tipton",[24],Drama
F E B R U A R Y,16,Black Panther,Marvel Studios,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis",[25],Action Adventure Science Fiction
F E B R U A R Y,16,Nostalgia,Bleecker Street,"Mark Pellington (director/screenplay); Alex Ross Perry (screenplay); Jon Hamm, Catherine Keener, John Ortiz, Nick Offerman, James LeGros, Bruce Dern, Ellen Burstyn",[26],Drama
F E B R U A R Y,16,Samson,Pure Flix,"Bruce Macdonald (director); Jason Baumgardner, Zach Smith, Timothy Ratajczak, Galen Gilbert (screenplay); Taylor James, Jackson Rathbone, Billy Zane, Caitlin Leahy, Rutger Hauer, Lindsay Wagner",[27],Action Drama Adventure
F E B R U A R Y,23,Game Night,Warner Bros. Pictures / New Line Cinema / Access Entertainment,"John Francis Daley, Jonathan Goldstein (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall, Kyle Chandler",[28],Mystery Comedy Crime
F E B R U A R Y,23,Annihilation,Paramount Pictures / Skydance Media / DNA Films,"Alex Garland (director/screenplay); Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, Oscar Isaac",[29],Science Fiction Horror
F E B R U A R Y,23,Every Day,Orion Pictures,"Michael Sucsy (director); Jesse Andrews (screenplay); Angourie Rice, Justice Smith, Debby Ryan, Maria Bello",[30],Romance Fantasy
F E B R U A R Y,23,The Cured,IFC Films,"David Freyne (director/screenplay); Ellen Page, Sam Keeley, Tom Vaughan-Lawlor",[31],Horror Drama Science Fiction
M A R C H,2,Red Sparrow,20th Century Fox / TSG Entertainment / Chernin Entertainment,"Francis Lawrence (director); Justin Haythe (screenplay); Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Jeremy Irons",[32],Thriller Mystery
M A R C H,2,Death Wish,Metro-Goldwyn-Mayer,"Eli Roth (director); Joe Carnahan (screenplay); Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Dean Norris, Kimberly Elise",[33],Action Crime Thriller
M A R C H,2,The Vanishing of Sidney Hall,A24,"Shawn Christensen (director/screenplay); Jason Dolan (screenplay); Logan Lerman, Elle Fanning, Michelle Monaghan, Nathan Lane, Kyle Chandler",[34],Drama Mystery Romance
M A R C H,2,Pickings,Digital Magic Entertainment,"Usher Morgan (director/screenplay); Elyse Price, Katie Vincent, Joel Bernard, Joe Trombino, Emil Ferzola, Yaron Urbas",[35],Thriller Action Crime Drama Mystery
M A R C H,9,A Wrinkle in Time,Walt Disney Pictures,"Ava DuVernay (director); Jennifer Lee, Jeff Stockwell (screenplay); Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Gugu Mbatha-Raw, Michael Peña, Zach Galifianakis, Chris Pine",[36],Adventure Science Fiction Family Fantasy
M A R C H,9,Gringo,Amazon Studios / STX Entertainment,"Nash Edgerton (director); Matthew Stone, Anthony Tambakis (screenplay); David Oyelowo, Charlize Theron, Joel Edgerton, Amanda Seyfried, Thandiwe Newton, Sharlto Copley",[37],Comedy Action Crime
M A R C H,9,Thoroughbreds,Focus Features,"Cory Finley (director/screenplay); Olivia Cooke, Anya Taylor-Joy, Anton Yelchin, Paul Sparks, Francie Swift",[38],Drama Thriller
M A R C H,9,The Strangers: Prey at Night,Aviron Pictures / Rogue,"Johannes Roberts (director); Bryan Bertino, Ben Ketai (screenplay); Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",[39],Horror Thriller
M A R C H,9,The Hurricane Heist,Entertainment Studios,"Rob Cohen (director); Scott Windhauser, Jeff Dixon (screenplay); Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, James Cutler, Ben Cross",[40],Action Adventure Crime Thriller
M A R C H,16,Tomb Raider,Warner Bros. Pictures / GK Films / Metro-Goldwyn-Mayer / Square-Enix,"Roar Uthaug (director); Geneva Robertson-Dworet, Alastair Siddons (screenplay); Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu, Kristin Scott Thomas",[41],Action Adventure Fantasy
M A R C H,16,"Love, Simon",20th Century Fox / Fox 2000 Pictures / TSG Entertainment,"Greg Berlanti (director); Isaac Aptaker, Elizabeth Berger (screenplay); Nick Robinson, Josh Duhamel, Jennifer Garner",[42],Comedy Drama Romance
M A R C H,16,I Can Only Imagine,Roadside Attractions / Lionsgate,"Erwin brothers (directors); Jon Erwin, Brent McCorkle (screenplay); J. Michael Finley, Madeline Carroll, Trace Adkins, Priscilla Shirer, Cloris Leachman, Dennis Quaid",[43],Music Drama
M A R C H,16,Entebbe,Focus Features / StudioCanal / Participant Media / Working Title Films,"José Padilha (director); Gregory Burke (screenplay); Rosamund Pike, Daniel Brühl, Eddie Marsan, Ben Schnetzer, Lior Ashkenazi, Denis Ménochet",[44],Thriller Drama Crime
M A R C H,16,Furlough,IFC Films,"Laurie Collyer (director); Barry Strugatz (screenplay); Tessa Thompson, Melissa Leo, Whoopi Goldberg, Anna Paquin",[45],Comedy
M A R C H,16,Josie,Screen Media Films,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer, Micah Fitzgerald, Lombardo Boyar, Daeg Faerch, Robin Bartlett, Kurt Fuller",[46],Thriller Drama
M A R C H,16,Flower,The Orchard,"Max Winkler (director/screenplay); Alex McAulay, Matt Spicer (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Adam Scott, Joey Morgan, Dylan Gelula",[47],Comedy Drama
M A R C H,23,Pacific Rim Uprising,Universal Pictures / Legendary Pictures,"Steven S. DeKnight (director/screenplay); Emily Carmichael, Kira Snyder, T. S. Nowlin (screenplay); John Boyega, Scott Eastwood, Jing Tian, Cailee Spaeny, Rinko Kikuchi, Burn Gorman, Adria Arjona, Zhang Jin, Charlie Day",[48],Action Fantasy Science Fiction Adventure
M A R C H,23,Isle of Dogs,Fox Searchlight Pictures / Indian Paintbrush,"Wes Anderson (director/screenplay); Bryan Cranston, Koyu Rankin, Edward Norton, Liev Schreiber, Bill Murray, Bob Balaban, Jeff Goldblum, Scarlett Johansson, Kunichi Nomura, Tilda Swinton, Ken Watanabe, Akira Ito, Greta Gerwig, Akira Takayama, Frances McDormand, F. Murray Abraham, Yojiro Noda, Fisher Stevens, Mari Natsuki, Nijirō Murakami, Yoko Ono, Harvey Keitel, Frank Wood",[49],Adventure Comedy Animation
M A R C H,23,Sherlock Gnomes,Paramount Pictures / Paramount Animation / Metro-Goldwyn-Mayer / Rocket Pictures,"John Stevenson (director); Ben Zazove (screenplay); James McAvoy, Emily Blunt, Chiwetel Ejiofor, Michael Caine, Ashley Jensen, Maggie Smith, Matt Lucas, Stephen Merchant, Ozzy Osbourne, Mary J. Blige, Julie Walters, Richard Wilson, Jamie Demetriou, Johnny Depp, Dexter Fletcher, James Hong, Eve Webster, Julio Bonet",[50],Animation Family Fantasy Comedy Adventure Mystery
M A R C H,23,Unsane,Bleecker Street / Regency Enterprises,"Steven Soderbergh (director); Jonathan Bernstein, James Greer (screenplay); Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple, Aimee Mullins, Amy Irving, Matt Damon",[51],Horror Thriller
M A R C H,23,"Paul, Apostle of Christ",Affirm Films,"Andrew Hyatt (director/screenplay); Jim Caviezel, Olivier Martinez, James Faulkner, Joanne Whalley, John Lynch",[52],Drama
M A R C H,23,Final Portrait,Sony Pictures Classics,"Stanley Tucci (director/screenplay); Geoffrey Rush, Armie Hammer, Clémence Poésy, Tony Shalhoub, James Faulkner, Sylvie Testud",[53],History Drama
M A R C H,23,Midnight Sun,Global Road Entertainment,"Scott Speer (director); Eric Kirsten (screenplay); Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew",[54],Romance Drama
M A R C H,29,Ready Player One,Warner Bros. Pictures / Village Roadshow Pictures / Access Entertainment / Amblin Entertainment,"Steven Spielberg (director); Zak Penn, Ernest Cline (screenplay); Tye Sheridan, Olivia Cooke, Ben Mendelsohn, T.J. Miller, Simon Pegg, Mark Rylance",[55],Adventure Action Science Fiction
M A R C H,30,Acrimony,Lionsgate / Tyler Perry Films,"Tyler Perry (director/screenplay); Taraji P. Henson, Lyriq Bent, Crystle Stewart, Ptosha Storey, Jazmyn Simon, Ajiona Alexus, Antonio Madison, Bresha Webb, Danielle Nicolet, Nelson Estevez, Kendrick Cross",[56],Drama Thriller
M A R C H,30,God's Not Dead: A Light in Darkness,Pure Flix,"Michael Mason (director/screenplay); David A. R. White, John Corbett, Shane Harper, Ted McGinley, Tatum O'Neal",[57],Drama
