Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
M A Y,19,Fahrenheit 451,HBO Films / Outlier Society,"Ramin Bahrani (director/screenplay); Amir Naderi (screenplay); Michael B. Jordan, Michael Shannon, Sofia Boutella, Khandi Alexander, Lilly Singh, Raoul Bhaneja, Martin Donovan, Andy McQueen, Dylan Taylor, Grace Lynn Kung, Ted Whittall, Ted Dykstra, Keir Dullea, Daniel Zolghadri, Drew Nelson, Lynne Griffin, Joe Pingue, Mayko Nguyen, Saad Siddiqui, Jane Moffat, Aaron Davis, Cindy Katz",,Drama Science Fiction Thriller
M A Y,25,Solo: A Star Wars Story,Lucasfilm,"Ron Howard (director); Jonathan Kasdan, Lawrence Kasdan (screenplay); Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandiwe Newton, Phoebe Waller-Bridge, Joonas Suotamo, Paul Bettany",[88],Science Fiction Adventure Action
M A Y,25,How to Talk to Girls at Parties,A24,"John Cameron Mitchell (director/screenplay); Philippa Goslett (screenplay); Elle Fanning, Alex Sharp, Nicole Kidman, Ruth Wilson, Matt Lucas",[89],Comedy Music Romance Science Fiction
M A Y,25,In Darkness,Vertical Entertainment,"Anthony Byrne (director/screenplay); Natalie Dormer (screenplay); Natalie Dormer, Ed Skrein, Emily Ratajkowski, Joely Richardson, Olegar Fedoro",[90],Drama War
M A Y,25,Future World,Lionsgate Premiere,"James Franco (director); Bruce Thierry Cheung (director/screenplay); Jay Davis (screenplay); James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva, Snoop Dogg, Twin Shadow, Method Man, Lucy Liu, Milla Jovovich",[91],Science Fiction
M A Y,26,The Tale,HBO Films / Gamechanger Films / Fork Films / One Two Films / WeatherVane Productions / Blackbird Films,"Jennifer Fox (director/screenplay); Laura Dern, Ellen Burstyn, Jason Ritter, Elizabeth Debicki, Isabelle Nélisse, Common, Frances Conroy, John Heard, Jodi Long, Tina Parker, Laura Allen, Isabella Amara, Juli Erickson, Chelsea Alden, Scott Takeda, Noah Lomax, Grant James, Jaqueline Fleming, Matthew Rauch, Aaron Williamson, Daniel Berson, Jessica Sarah Flaum, Shay Lee Abeson, Gretchen Koerner",,Drama Mystery
J U N E,1,Action Point,Paramount Pictures,"Tim Kirkby (director); John Altschuler, Dave Krinsky (screenplay); Johnny Knoxville, Chris Pontius",[92],Comedy
J U N E,1,Adrift,STX Entertainment,"Baltasar Kormákur (director); Aaron Kandell, Jordan Kandell, David Branson Smith (screenplay); Shailene Woodley, Sam Claflin",[93],Thriller Romance Adventure
J U N E,1,Upgrade,BH Tilt,"Leigh Whannell (director/screenplay); Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson",[94],Action Thriller Science Fiction
J U N E,1,American Animals,The Orchard / MoviePass Ventures,"Bart Layton (director/screenplay); Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd",[95],Drama Crime Documentary
J U N E,1,Social Animals,Vertical Entertainment,"Theresa Bennett (director/screenplay); Noël Wells, Josh Radnor, Aya Cash, Carly Chaikin, Fortune Feimster, Samira Wiley",[96],Comedy Romance
J U N E,8,Ocean's 8,Warner Bros. Pictures / Village Roadshow Pictures,"Gary Ross (director/screenplay); Olivia Milch (screenplay); Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Helena Bonham Carter",[97],Crime Comedy Action
J U N E,8,Won't You Be My Neighbor?,Focus Features,"Morgan Neville (director); Fred Rogers, François Clemmons, Yo-Yo Ma, Joe Negri, David Newell, Tom Junod, Joanne Rogers",[98],Documentary
J U N E,8,Hereditary,A24,"Ari Aster (director/screenplay); Toni Collette, Alex Wolff, Milly Shapiro, Ann Dowd, Gabriel Byrne",[99],Horror Mystery Thriller
J U N E,8,Hotel Artemis,Global Road Entertainment,"Drew Pearce (director/screenplay); Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Brian Tyree Henry, Jenny Slate, Zachary Quinto, Charlie Day, Dave Bautista",[100],Thriller Science Fiction Action
J U N E,13,Superfly,Columbia Pictures / Silver Pictures,"Director X (director); Alex Tse (screenplay); Trevor Jackson, Jason Mitchell, Michael K. Williams, Lex Scott Davis, Jennifer Morrison",[101],Action Crime
J U N E,15,Incredibles 2,Walt Disney Pictures / Pixar Animation Studios,"Brad Bird (director/screenplay); Craig T. Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Jonathan Banks, Brad Bird, Sophia Bush, Phil LaMarr, Paul Eiding, Isabella Rossellini, John Ratzenberger, Barry Bostwick, Jere Burns, Adam Rodriguez, Usher, Eli Fucile",[102],Action Adventure Animation Family
J U N E,15,Tag,Warner Bros. Pictures / New Line Cinema,"Jeff Tomsic (director); Rob McKittrick, Mark Steilen (screenplay); Ed Helms, Jake Johnson, Annabelle Wallis, Hannibal Buress, Isla Fisher, Rashida Jones, Leslie Bibb, Jon Hamm, Jeremy Renner",[103],Comedy Action
J U N E,15,Gotti,Vertical Entertainment,"Kevin Connolly (director); Lem Dobbs, Leo Rossi (screenplay); John Travolta, Spencer Lofranco, Pruitt Taylor Vince, Stacy Keach, Chris Mulkey, William DeMeo, Kelly Preston",[104],Crime Drama History Thriller
J U N E,22,Jurassic World: Fallen Kingdom,Universal Pictures / Amblin Entertainment / Legendary Pictures / Perfect World Pictures,"J. A. Bayona (director); Derek Connolly, Colin Trevorrow (screenplay); Chris Pratt, Bryce Dallas Howard, Rafe Spall, Toby Jones, Ted Levine, BD Wong, Jeff Goldblum",[105],Action Adventure Science Fiction Thriller
J U N E,22,Boundaries,Sony Pictures Classics,"Shana Feste (director/screenplay); Vera Farmiga, Christopher Plummer, Lewis MacDougall, Bobby Cannavale, Kristen Schaal, Christopher Lloyd, Peter Fonda",[106],Comedy Drama
J U N E,22,Damsel,Magnolia Pictures,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",[107],Fantasy Action Adventure
J U N E,28,The Domestics,Orion Classics,"Mike P. Nelson (director/screenplay); Tyler Hoechlin, Kate Bosworth, Lance Reddick, Sonoya Mizuno, Dana Gourrier, Thomas Francis Murray, David Dastmalchian",[108],Thriller Horror
J U N E,29,Sicario: Day of the Soldado,Columbia Pictures / Black Label Media / Thunder Road Pictures,"Stefano Sollima (director); Taylor Sheridan (screenplay); Benicio del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan, Manuel Garcia-Rulfo, Catherine Keener",[109],Action Crime Thriller
J U N E,29,Leave No Trace,Bleecker Street,"Debra Granik (director/screenplay); Anne Rosellini (screenplay); Ben Foster, Thomasin McKenzie, Jeff Kober, Dale Dickey",[110],Drama
J U N E,29,Love All You Have Left,Dongo Productions / Indie Rights,"Matt Sivertson (director/screenplay); Caroline Amiguet, Sara Wolfkind, Michael Christopher Shantz, Mike Burnell, Kathleen Sheehy",[111],Drama
J U N E,29,Uncle Drew,Summit Entertainment,"Charles Stone III (director); Jay Longino (screenplay); Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Chris Webber, Reggie Miller, Nate Robinson, Lisa Leslie, Erica Ash, J. B. Smoove, Mike Epps, Tiffany Haddish, Nick Kroll, Aaron Gordon",[112],Comedy
J U N E,29,Woman Walks Ahead,A24,"Susanna White (director); Steven Knight (screenplay); Jessica Chastain, Michael Greyeyes, Chaske Spencer, Sam Rockwell",[113],Drama History Western
J U L Y,3,Who's Watching Oliver,Motionpictures / Gravitas Ventures,"Richie Moore (director/screenplay); Raimund Huber, Russell Geoffrey Banks (screenplay); Russell Geoffrey Banks, Sara Malakul Lane, Margaret Roche",[114],Horror TV Movie
J U L Y,4,The First Purge,Universal Pictures / Blumhouse Productions / Platinum Dunes,"Gerard McMurray (director); James DeMonaco (screenplay); Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris",[115],Horror Action Thriller
